meta_id,meta_name,meta_owner,meta_visualization,prompt_context_dataset_name,query_type,has_service,limit,sparql_len,declared_prefix_count,prefix_count,exec_class,exec_error
673778960dcaf35f1327c3af,loki-location,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,,799,6,9,missing,
6737851b0dcaf35f135ae6c0,loki-spoorwegen,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,1000.0,636,4,9,missing,
673785670dcaf35f135c488f,loki-filter-query-plaats,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,100.0,1159,5,9,missing,
673e0eb6092a7a1679782bb3,loki-oppervlakte-huizen,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,,712,3,9,missing,
673e0eee092a7a16797aedf3,loki-kerken,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,1.0,769,3,9,missing,
6751b192b1a47838eba10e94,RCE koppeling speedy,Hans Schevers,Table,Kadaster Knowledge Graph (KKG),SELECT,False,10.0,39,0,9,missing,
6751b73c252d134123b3215d,RCE dataconsistency virtuoso,Hans Schevers,Table,Kadaster Knowledge Graph (KKG),SELECT,True,,2622,12,9,missing,
675ad682252d134123e860ed,loki-filter-query-plaats,Wouter Beek,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,100.0,1159,5,9,missing,
67615b0a5ec50b13cbe9e57e,RCE- data improvement-BAG,Hans Schevers,Table,Basisregistratie Adressen en Gebouwen (BAG),SELECT,True,,2120,12,27,missing,
676178325ec50b13cb8dfc3f,KKG bag trace verblijfsobject id,Hans Schevers,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,100.0,277,2,9,missing,
6824b535f9a0744ebbb256a6,Amsterdam data,Hans Schevers,Geo,Amsterdam,SELECT,False,,400,1,294,missing,
682edf2b5ad109484323d941,rioned-rioleringsgebied,Kadaster,Table,Kadaster Knowledge Graph (KKG),SELECT,True,10.0,580,3,9,missing,
682ee7f75ad1094843251777,rioned-brt-zuiveringsinstallaties,Kadaster,Geo,Basisregistratie Topografie (BRT) - Top10NL,SELECT,False,10.0,1004,6,26,missing,
682f01215ad109484328c637,rioned-kkg-waterschap-gemeente,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,True,10.0,1314,6,9,missing,
6834661a46ae7f3e733e4b63,rioned-kkg-waterschap-woonplaatsen,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,True,20.0,1335,6,9,missing,
6834687b521a2c1b6787535d,rioned-kkg-panden-rioleringsgebied,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,True,,1241,7,9,missing,
68346ca146ae7f3e733fdb53,rioned-kkg-riolerings-cbs,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,True,,1668,8,9,missing,
